supu;ika;koulutus;siviilis;tyotilan;omistusa;oma_tulo;kotittul;saasto95;saasto94;asuntol;muulaina;yltyyt;taltyyt;ihmtyyt
1,00;31,00;4,00;2,00;0,00;0,00;4360,00;11502,00;17764,00;22000,00;0,00;152035,00;1,00;2,00;1,00
2,00;28,00;3,00;1,00;0,00;0,00;3607,00;3963,00;16040,00;14000,00;0,00;17667,00;2,00;2,00;2,00
1,00;36,00;4,00;2,00;1,00;1,00;4784,00;10943,00;23355,00;40000,00;373865,00;143090,00;4,00;3,00;4,00
2,00;48,00;4,00;4,00;1,00;1,00;3855,00;3957,00;47189,00;76000,00;196039,00;31316,00;4,00;4,00;4,00
2,00;51,00;3,00;1,00;1,00;1,00;5240,00;5637,00;55274,00;60000,00;53982,00;32738,00;1,00;2,00;1,00
2,00;53,00;3,00;1,00;1,00;1,00;5806,00;6543,00;60352,00;55000,00;29618,00;40891,00;2,00;2,00;1,00
2,00;32,00;4,00;2,00;1,00;1,00;5440,00;9688,00;12844,00;39000,00;337668,00;123008,00;4,00;3,00;4,00
1,00;20,00;3,00;1,00;0,00;1,00;3480,00;3800,00;5749,00;20000,00;52461,00;16208,00;3,00;3,00;3,00
1,00;19,00;3,00;2,00;1,00;1,00;5414,00;11268,00;8550,00;25000,00;46004,00;83418,00;2,00;2,00;1,00
2,00;22,00;4,00;1,00;1,00;1,00;5841,00;6038,00;9500,00;20000,00;248104,00;64619,00;2,00;3,00;2,00
1,00;48,00;3,00;1,00;0,00;1,00;3893,00;4235,00;47995,00;60000,00;22903,00;20123,00;2,00;2,00;2,00
1,00;44,00;4,00;2,00;1,00;0,00;6576,00;10689,00;30476,00;26000,00;0,00;139032,00;2,00;2,00;1,00
1,00;24,00;3,00;1,00;0,00;0,00;2920,00;3579,00;12357,00;30000,00;0,00;14216,00;3,00;4,00;3,00
1,00;29,00;3,00;1,00;1,00;0,00;7892,00;7958,00;22294,00;17000,00;0,00;53627,00;2,00;2,00;2,00
1,00;33,00;5,00;2,00;0,00;0,00;5056,00;9956,00;13820,00;27000,00;0,00;198922,00;3,00;4,00;4,00
2,00;42,00;4,00;2,00;0,00;0,00;3923,00;12357,00;28092,00;25000,00;0,00;165723,00;2,00;2,00;2,00
1,00;40,00;4,00;1,00;1,00;0,00;5930,00;6356,00;33729,00;25000,00;0,00;69700,00;1,00;1,00;1,00
2,00;45,00;1,00;2,00;0,00;0,00;3455,00;10548,00;30935,00;23000,00;0,00;34192,00;1,00;2,00;1,00
2,00;22,00;2,00;2,00;0,00;0,00;2790,00;11273,00;14771,00;19000,00;0,00;9273,00;2,00;2,00;2,00
1,00;21,00;3,00;2,00;0,00;0,00;4937,00;8889,00;8915,00;22500,00;0,00;62004,00;3,00;4,00;3,00
1,00;37,00;5,00;1,00;0,00;1,00;8373,00;9324,00;32371,00;120000,00;408745,00;183115,00;4,00;4,00;4,00
1,00;41,00;4,00;3,00;1,00;1,00;4192,00;4481,00;5027,00;20000,00;15472,00;39702,00;4,00;3,00;4,00
2,00;29,00;5,00;1,00;0,00;1,00;3749,00;3912,00;16793,00;39000,00;70241,00;47819,00;4,00;4,00;4,00
